func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	float	1000	0.00183524	0.00108978	0.0043591
sv_sub	float	2000	0.00184418	0.00216899	0.00867595
sv_sub	float	4000	0.00185324	0.00431676	0.017267
sv_sub	float	8000	0.00187669	0.00852564	0.0341026
sv_sub	float	16000	0.00195254	0.0163889	0.0655557
sv_sub	float	32000	0.00225465	0.0283858	0.113543
sv_sub	float	64000	0.00259405	0.0493437	0.197375
sv_sub	float	128000	0.0033351	0.0767592	0.307037
sv_sub	float	256000	0.00462918	0.110603	0.442411
sv_sub	float	512000	0.00695033	0.147331	0.589325
sv_sub	float	1024000	0.0119031	0.172057	0.688226
sv_sub	float	2048000	0.0207265	0.197621	0.790484
sv_sub	float	4096000	0.0393878	0.207983	0.831933
sv_sub	float	8192000	0.0802745	0.2041	0.816399
sv_sub	float	16384000	0.155137	0.21122	0.844878
sv_sub	float	32768000	0.303693	0.215797	0.863188
