func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	0.00183387	0.00109059	0.00654354
vv_sub	float	2000	0.00183492	0.00217993	0.0130796
vv_sub	float	4000	0.00187006	0.00427794	0.0256677
vv_sub	float	8000	0.00210652	0.00759545	0.0455727
vv_sub	float	16000	0.00193106	0.0165712	0.0994273
vv_sub	float	32000	0.00225453	0.0283872	0.170323
vv_sub	float	64000	0.00260235	0.0491864	0.295118
vv_sub	float	128000	0.00332512	0.0769896	0.461938
vv_sub	float	256000	0.00473743	0.108075	0.648453
vv_sub	float	512000	0.00700379	0.146207	0.87724
vv_sub	float	1024000	0.0119476	0.171416	1.0285
vv_sub	float	2048000	0.0207307	0.197582	1.18549
vv_sub	float	4096000	0.0398202	0.205725	1.23435
vv_sub	float	8192000	0.0814521	0.201149	1.20689
vv_sub	float	16384000	0.157472	0.208087	1.24852
vv_sub	float	32768000	0.310524	0.21105	1.2663
