func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	float	1000	1.96622e-05	0.101718	0.610308
vv_div	float	2000	2.67054e-05	0.149782	0.898695
vv_div	float	4000	2.21394e-05	0.361347	2.16808
vv_div	float	8000	2.41893e-05	0.661449	3.9687
vv_div	float	16000	3.36098e-05	0.952103	5.71262
vv_div	float	32000	4.9791e-05	1.28537	7.71224
vv_div	float	64000	0.000182219	0.702451	4.21471
vv_div	float	128000	0.000143561	1.78322	10.6993
vv_div	float	256000	0.000257595	1.98762	11.9257
vv_div	float	512000	0.000503305	2.03455	12.2073
vv_div	float	1024000	0.000898432	2.27953	13.6772
vv_div	float	2048000	0.00172069	2.38044	14.2826
vv_div	float	4096000	0.00651765	1.25689	7.54137
vv_div	float	8192000	0.0124532	1.31565	7.8939
vv_div	float	16384000	0.0509667	0.64293	3.85758
vv_div	float	32768000	0.103562	0.632819	3.79691
vv_div	float	65536000	0.184666	0.709778	4.25867
vv_div	double	1000	1.78943e-05	0.111767	1.34121
vv_div	double	2000	2.10289e-05	0.190214	2.28257
vv_div	double	4000	2.99118e-05	0.267453	3.20944
vv_div	double	8000	3.20801e-05	0.498752	5.98502
vv_div	double	16000	6.01282e-05	0.532196	6.38635
vv_div	double	32000	8.54205e-05	0.749235	8.99082
vv_div	double	64000	0.000126084	1.01519	12.1823
vv_div	double	128000	0.000232619	1.10051	13.2061
vv_div	double	256000	0.000406444	1.25971	15.1165
vv_div	double	512000	0.000771394	1.32747	15.9296
vv_div	double	1024000	0.00155139	1.32011	15.8413
vv_div	double	2048000	0.00681543	0.600989	7.21187
vv_div	double	4096000	0.0196173	0.41759	5.01108
vv_div	double	8192000	0.0438182	0.373908	4.4869
vv_div	double	16384000	0.10139	0.323188	3.87826
vv_div	double	32768000	0.197356	0.33207	3.98485
vv_div	double	65536000	0.327268	0.400504	4.80605
