func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	float	1000	0.00182955	0.00109316	0.00655898
vv_mul	float	2000	0.00183108	0.0021845	0.013107
vv_mul	float	4000	0.00186683	0.00428533	0.025712
vv_mul	float	8000	0.00187959	0.00851247	0.0510748
vv_mul	float	16000	0.00194987	0.0164113	0.098468
vv_mul	float	32000	0.00226667	0.0282352	0.169411
vv_mul	float	64000	0.00261837	0.0488855	0.293313
vv_mul	float	128000	0.00363168	0.0704908	0.422945
vv_mul	float	256000	0.00448537	0.114149	0.684893
vv_mul	float	512000	0.00702886	0.145685	0.87411
vv_mul	float	1024000	0.0119941	0.170751	1.02451
vv_mul	float	2048000	0.0210139	0.194919	1.16951
vv_mul	float	4096000	0.0398475	0.205584	1.2335
vv_mul	float	8192000	0.0811861	0.201808	1.21085
vv_mul	float	16384000	0.156794	0.208988	1.25393
vv_mul	float	32768000	0.315084	0.207995	1.24797
